K,A0_fd_MHz_mm,S0_fd_MHz_mm,A0_vg_m_s,S0_vg_m_s
6.186718146718147,5.720808260794625,11.773268896118601,2971.0929359665024,3277.9011834071716
6.2174517374517375,5.749870506672307,11.805221779131157,2970.4056799944374,3254.889590751147
6.248185328185328,5.778926064436269,11.836952801446595,2969.725596194272,3232.513938628952
6.27891891891892,5.807975004058506,11.868467891141849,2969.052645391668,3210.7167571936734
6.30965250965251,5.837017395128481,11.899772438272723,2968.3867885415093,3189.4454685556702
6.340386100386101,5.866053306854247,11.930871342197598,2967.7279866979807,-96320.02821726789
6.3711196911196915,5.895082808063274,10.015212182954633,2967.0762009863392,-208031.53221198992
6.401853281853282,5.924105967202999,7.860607195520682,2966.4313925764873,-204510.7096334949
6.432586872586873,5.953122852341162,6.013835083138744,2965.7935226577683,-92960.72714506584
6.463320463320463,5.982133531165847,6.041773720016638,2965.162552414462,2856.519602996472
6.494054054054055,6.011138070985338,6.069724636038391,2964.538443004363,2857.7620744333835
6.524787644787645,6.040136538727749,6.097687582629766,2963.9211555368965,2858.979414969217
6.555521235521236,6.069129000940444,6.125662316663547,2963.3106510536163,2860.1721745874383
6.586254826254827,6.098115523789295,6.153648600326271,2962.7068905099877,2861.3408899036003
6.616988416988417,6.127096173057731,6.181646200989925,2962.1098347574007,2862.4860845810035
6.647722007722008,6.156071014145661,6.209654891086843,2961.5194445282687,2863.6082696626545
6.678455598455598,6.18504011206822,6.237674447987877,2960.935680445982,2864.707943913352
6.70918918918919,6.214003531454889,6.265704653884,2960.358502909774,2865.785594099376
6.7399227799227805,6.242961336545984,6.293745295669947,2959.787872209854,2866.8416953869164
6.770656370656371,6.271913591194045,6.321796164833602,2959.2237485199585,2867.876711602672
6.801389961389962,6.300860358860168,6.349857057344762,2958.666091748164,2868.891095486819
6.832123552123552,6.3298017026124604,6.377927773549446,2958.1148616377614,2869.885289065249
6.862857142857143,6.358737685124375,6.406008118065953,2957.5700177418767,2870.8597238858347
6.893590733590734,6.387668368672654,6.434097899683807,2957.031519405835,2871.814821302134
6.924324324324325,6.416593815135311,6.46219693126534,2956.499325763434,2872.7509927391075
6.955057915057916,6.445514085989521,6.490305029649861,2955.9733957333374,2873.6686399477185
6.985791505791506,6.474429242309513,6.518422015560204,2955.4536880144733,2874.5681552814785
7.016525096525097,6.503339344764384,6.546547713512317,2954.9401610834757,2875.449921899475
7.0472586872586875,6.532244453615929,6.574681951725775,2954.4327731911326,2876.3143140135217
7.077992277992278,6.561144628716399,6.602824562038205,2953.9314823579043,2877.1616971721523
7.108725868725869,6.590039929506236,6.630975379821369,2953.4362464123406,2877.9924284262233
7.139459459459459,6.618930415012574,6.659134243898807,2952.947022891487,2878.806856555282
7.170193050193051,6.647816143845049,6.68730099646637,2952.4637691415846,2879.6053223038325
7.2009266409266415,6.676697174196244,6.715475483014469,2951.986442322843,2880.388158572372
7.231660231660232,6.705573563837605,6.743657552252359,2951.5149993134546,2881.155690621177
7.262393822393823,6.734445370118017,6.771847056034368,2951.0493968052324,2881.9082362657064
7.293127413127413,6.763312649961571,6.800043849288002,2950.589591269614,2882.646106065775
7.323861003861004,6.792175459865493,6.828247789943886,2950.1355389690143,2883.3696035110042
7.3545945945945945,6.821033855898116,6.85645873886748,2949.687195960083,2884.079025199695
7.385328185328186,6.849887893696889,6.884676559792539,2949.244518089865,2884.774661013682
7.416061776061777,6.878737628466267,6.912901119256242,2948.8074610519106,2885.4567942852154
7.446795366795367,6.9075831149768145,6.9411322865359075,2948.3759803018766,2886.12570196006
7.477528957528958,6.9364244075614545,6.969369933587333,2947.9500311157317,2886.781654793187
7.5082625482625485,6.965261560115691,6.997613934985315,2947.5295686451136,2887.4249174307915
7.538996138996139,6.994094626094962,7.025864167863624,2947.114547835896,2888.0557486083126
7.56972972972973,7.0229236585132675,7.054120511859373,2946.7049234866863,2888.6744013323914
7.600463320463321,7.0517487099416485,7.0823828490565575,2946.300650246092,2889.2811229552026
7.631196911196912,7.080569832506773,7.110651063931891,2945.9016826137085,2889.8761553529766
7.661930501930502,7.109387077889441,7.138925043301819,2945.5079749888973,2890.459735054057
7.692664092664093,7.138200497324119,7.167204676270882,2945.119481608097,2891.032093370217
7.723397683397684,7.167010141596214,7.195489854181287,2944.7361565942992,2891.5934565261123
7.754131274131274,7.1958160610425805,7.223780470563789,2944.3579540061182,2892.144045783556
7.784864864864865,7.224618305549752,7.252076421089722,2943.984827775799,2892.684077550133
7.815598455598456,7.2534169245532425,7.280377603523987,2943.616731759277,2893.2137635613326
7.846332046332047,7.282211967036748,7.308683917680651,2943.2536197335576,2893.733310880896
7.877065637065638,7.311003481531396,7.336995265375945,2942.8954454298946,2894.2429220771883
7.907799227799228,7.339791516115612,7.365311550387308,2942.5421625016606,2894.7427953939186
7.938532818532819,7.368576118413727,7.393632678409738,2942.1937245597364,2895.233124744438
7.969266409266409,7.397357335596527,7.421958557014699,2941.850085204642,2895.7140998715768
8.0,7.42613521438051,7.450289095609623,2941.6794593689056,2895.9522723381665
